id,strategy_name,one_liner,sources
1,ETF–NAV Dislocation Harvesting,"Exploit ETF price vs. fair value gaps using creation/redemption, hedged with index futures.",turn6search94;turn6search122
2,Index Reconstitution & Closing-Auction Liquidity,Predict adds/deletes; provide liquidity into the close to monetize execution frictions.,turn9search150;turn9search144;turn9search147
3,Closing-Auction Imbalance Micro-Alpha,Use real-time imbalance/paired-quantity to forecast final prints in the last minutes.,turn9search146;turn9search145
4,Overnight vs. Intraday Split (News-Guided),"Go long overnight, neutral intraday with NLP topic filters to pick names.",turn9search138;turn9search140
5,FOMC Cycle & Pre-Announcement Drift,Harvest pre-FOMC equity premium with regime filter and tight risk.,turn9search133;turn9search134;turn9search132;turn9search137
6,Variance Risk Premium (Cross-Asset),Systematically sell variance where IV > RV across assets and tenors.,turn9search156;turn9search157
7,Session-Split VRP,Short variance overnight and neutral/long intraday per VRP decomposition.,turn9search158
8,Active Dispersion (Correlation Risk Premium),Long single-name vol vs short index vol only when IC >> RC; de-risk on compression.,turn9search127;turn9search126
9,Conditional Correlation Carry,Trade negative down-correlation premium using sector/index options.,turn9search160
10,Turn-of-the-Month Overlay,Own equities from last trading day to +3 days; implement via futures for capital efficiency.,turn9search180;turn9search182
11,Overnight Jump Reversion,Fade large overnight jumps with short-horizon mean reversion controls.,turn9search139
12,Post-Earnings/Accruals Subset Alpha,Target extreme surprises with clean accruals/low coverage; avoid naïve PEAD.,turn9search166;turn9search167
13,Earnings IV Run-Up / Crush,Short defined-risk vega into earnings where implied move exceeds realized distribution.,turn9search178;turn9search179
14,IV–RV Alignment Trades,Exploit IV–RV gap with tenor/strike-matched RV; avoid catalyst traps.,turn9search174;turn9search175
15,Index Cash-and-Carry,Exploit spot–futures fair-value drifts around dividends/financing with basket hedges.,turn9search124
16,Flow-Pressure Contrarian (ETF/Funds),Short names with self-inflated returns from flow-chasing; expect reversion.,turn9search168;turn9search170
17,Be the Patient Counterparty on Rebalance Days,Provide liquidity to trackers demanding immediacy at reconstitution.,turn9search154
18,EU Closing-Auction Imbalance Unlock,Target Euronext's untapped imbalance notional with venue-specific tools.,turn9search149
19,ETF Primary-Market Routing,Use create/redeem to reduce impact on large ETF orders and capture NAV edges.,turn9search169
20,Monetary Momentum Window,Position over multi-week drift around expansionary vs contractionary FOMC decisions.,turn9search135;turn9search132
21,VRP Term/Moneyness Tilt,Bias short-vol to maturities/moneyness with better variance pricing compensation.,turn9search157
22,NLP-Guided Overnight Selector,Use topic prevalence models to pick overnight longs/shorts.,turn9search138
23,Auction-Aware MM with RL,RL market-making that anticipates closing auctions to optimize inventory transfer.,turn9search148
24,Flow Pressure & Real-Economy Feedback (Credit-Equity),Exploit liquidity-driven selling that raises financing costs; contrarian entries.,turn9search171
25,Attention-Weighted TOM Overlay,Combine TOM calendar with attention/flow filters to enhance hit rate.,turn9search182;turn9search140
26,Weekly Overnight Seasonality Timing,Go long Mon–Tue overnight and avoid/short Fri→Mon per documented weekly pattern.,turn9search143;turn9search140
27,Clientele Split Allocator,Allocate to overnight vs intraday based on household/intermediary sentiment regime.,turn9search142
28,Pre-FOMC VIX/Equity Pair,"Short VIX / long equities into announcements, flatten after; effect is short-lived now.",turn9search132;turn9search133
29,Pre-FOMC Regime Switch Filter,Disable pre-FOMC equity drift trade post-2015 unless uncertainty is elevated.,turn9search137
30,Index Inclusion Fade,Fade S&P 500 inclusion pops over 2–8 weeks given structural decline of index effect.,turn9search150;turn9search151;turn9search153
31,Reconstitution Close Microstructure,Target Russell day: volumes +220% in last 30 minutes; specialize per venue rules.,turn9search144
32,Euronext Imbalance Capture,Harvest higher imbalance notional on EU rebalance days via auction tools.,turn9search149
33,ETF Create/Redeem Latency Edge,Arb stale NAV during big underlying moves by tapping primary liquidity.,turn9search169
34,Bubble‑Watch Flow Contrarian (ETFs),Short/underweight names where self-inflated flows flag impending unwind.,turn9search168
35,Muni Fund Outflow Liquidity Provision,Buy pressured muni bonds during mutual fund outflow waves; spreads mean-revert.,turn9search173
36,Option‑Trading ETF Rollover Signal,Front‑run/absorb systematic call‑writing ETF rolls that shape IV surface.,turn9search172
37,Cross‑Asset VRP Basket,Diversify variance selling into commodities/FX/bonds where VRP is significant.,turn9search156
38,VRP Term‑Slope Timing,Lean shorter maturities when the variance risk premium slope steepens in stress.,turn9search157
39,Robust VRP via Synthetic Variance Swaps,Replicate variance swaps from options for cleaner VRP capture.,turn9search161
40,Overnight vs Intraday Variance Skew,"Short overnight variance, long intraday variance where decomposition supports.",turn9search158
41,Conditional Dependence Trades,Trade up/down correlation skews inferred from joint option surfaces.,turn9search160
42,IC–RC Gate for Dispersion,Engage dispersion only when implied minus realized correlation is wide.,turn9search127;turn9search131
43,Concentration‑Aware Dispersion,Deploy dispersion when mega‑cap concentration risk is elevated.,turn9search130
44,Overnight Jump Fade (Stock‑Specific),Systematically fade prior‑night jump portfolios with short‑term horizons.,turn9search139
45,Contextual Accruals,Use accruals in micro‑caps/low‑institutional settings where persistence remains.,turn9search165;turn9search163
46,PEAD Disaggregation,Within‑firm signal construction to avoid aggregation bias in post‑earnings drift.,turn9search166
47,Event Vega Calendars,Use calendars/diagonals to monetize earnings IV crush while capping tail risk.,turn9search178;turn9search179
48,Tenor‑Matched IV–RV,Align RV horizon to option tenor; sidestep common IV–RV pitfalls.,turn9search174;turn9search175
49,TOM Futures‑Only Overlay,Exploit TOM via S&P futures; strong persistence documented in futures.,turn9search184;turn9search181
50,Overnight Drift in Attention Stocks,Focus overnight exposure on meme/attention names where effect is strongest.,turn9search141;turn9search140
